site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,1,1,2.171331,317708
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,1,2,2.124843,317623
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,1,3,2.274704,317017
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,1,0,1.303666,158977
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,1,1,1.332575,158750
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,1,2,1.335964,158844
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,1,3,1.239734,158584
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,1,4,1.317088,159282
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,1,5,1.351168,158958
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,1,6,1.247510,158779
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,1,7,1.351358,158433
ryzen7535hs,mpi,20000000,1,1,wblock,1024,1,0,7.442357,1270607
ryzen7535hs,mpi,20000000,2,1,wblock,1024,1,0,4.281612,824750
ryzen7535hs,mpi,20000000,2,1,wblock,1024,1,1,4.010391,445857
ryzen7535hs,mpi,20000000,4,1,wblock,1024,1,0,2.316280,535821
ryzen7535hs,mpi,20000000,4,1,wblock,1024,1,1,2.174238,288929
ryzen7535hs,mpi,20000000,4,1,wblock,1024,1,2,2.096011,237031
ryzen7535hs,mpi,20000000,4,1,wblock,1024,1,3,2.065081,208826
ryzen7535hs,mpi,20000000,8,1,wblock,1024,1,0,1.454255,348513
ryzen7535hs,mpi,20000000,8,1,wblock,1024,1,1,1.394249,187308
ryzen7535hs,mpi,20000000,8,1,wblock,1024,1,2,1.297312,153590
ryzen7535hs,mpi,20000000,8,1,wblock,1024,1,3,1.367908,135339
ryzen7535hs,mpi,20000000,8,1,wblock,1024,1,4,1.353887,122991
ryzen7535hs,mpi,20000000,8,1,wblock,1024,1,5,1.379761,114040
ryzen7535hs,mpi,20000000,8,1,wblock,1024,1,6,1.292711,107291
ryzen7535hs,mpi,20000000,8,1,wblock,1024,1,7,1.140501,101535
ryzen7535hs,mpi,20000000,1,1,block,1024,2,0,7.115996,1270607
ryzen7535hs,mpi,20000000,2,1,block,1024,2,0,3.259320,664579
ryzen7535hs,mpi,20000000,2,1,block,1024,2,1,5.046199,606028
ryzen7535hs,mpi,20000000,4,1,block,1024,2,0,1.462362,348513
ryzen7535hs,mpi,20000000,4,1,block,1024,2,1,2.128406,316066
ryzen7535hs,mpi,20000000,4,1,block,1024,2,2,2.646214,306125
ryzen7535hs,mpi,20000000,4,1,block,1024,2,3,2.931878,299903
ryzen7535hs,mpi,20000000,8,1,block,1024,2,0,0.598320,183072
ryzen7535hs,mpi,20000000,8,1,block,1024,2,1,0.854352,165441
ryzen7535hs,mpi,20000000,8,1,block,1024,2,2,1.237527,159748
ryzen7535hs,mpi,20000000,8,1,block,1024,2,3,1.332504,156318
ryzen7535hs,mpi,20000000,8,1,block,1024,2,4,1.530589,154124
ryzen7535hs,mpi,20000000,8,1,block,1024,2,5,1.674792,152001
ryzen7535hs,mpi,20000000,8,1,block,1024,2,6,1.649223,150685
ryzen7535hs,mpi,20000000,8,1,block,1024,2,7,1.696857,149218
ryzen7535hs,mpi,20000000,1,1,cyclic,1024,2,0,7.188987,1270607
ryzen7535hs,mpi,20000000,2,1,cyclic,1024,2,0,4.174730,635437
ryzen7535hs,mpi,20000000,2,1,cyclic,1024,2,1,4.141641,635170
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,2,0,2.123517,317769
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,2,1,2.174938,317693
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,2,2,2.175474,317668
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,2,3,2.177146,317477
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,2,0,1.608000,158948
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,2,1,1.650729,158891
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,2,2,1.618582,158835
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,2,3,1.644490,158781
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,2,4,1.641881,158821
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,2,5,1.685274,158802
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,2,6,1.604577,158833
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,2,7,1.642781,158696
ryzen7535hs,mpi,20000000,1,1,blockcyclic,1024,2,0,7.327468,1270607
ryzen7535hs,mpi,20000000,2,1,blockcyclic,1024,2,0,4.065400,635882
